point_id,true_class,predicted_class
7341,1,0
4143,1,0
4329,1,0
7348,1,0
44,0,2
7366,1,0
4144,1,0
3284,1,2
4480,0,1
765,0,1
4082,1,2
4110,1,0
8817,1,0
31,0,1
4140,1,0
318,0,2
4131,1,0
551,0,2
4148,1,2
4104,1,2
3945,1,0
21,0,1
3495,0,1
4148,1,2
4137,1,2
6131,1,2
4214,0,1
619,0,1
3940,1,0
4121,1,2
6122,1,2
4324,1,0
4170,1,0
2768,0,1
4166,1,2
2785,0,1
4170,1,0
4095,1,2
6920,1,0
804,0,1
221,0,1
7369,1,0
4142,1,0
5037,0,1
3514,0,1
6104,1,2
4215,0,1
54,0,1
46,0,1
8220,2,1
4325,1,0
4153,1,2
4110,1,0
7365,1,0
3990,1,2
3267,1,2
6177,1,2
3135,1,0
4327,1,0
7349,1,0
4323,1,0
5508,1,0
765,0,1
4081,1,2
3134,1,0
4322,1,0
5514,1,0
3989,1,0
3114,0,1
4166,1,2
1640,0,1
6952,2,1
3941,1,0
8806,1,0
7344,1,0
6713,1,0
4329,1,0
4153,1,2
618,0,1
4305,1,0
53,0,2
5495,1,2
6151,1,0
7734,2,0
5504,1,0
78,0,1
6131,1,2
45,0,1
3131,1,0
5502,1,0
3941,1,0
5316,0,1
4900,1,0
1693,0,2
4153,1,2
4141,1,0
8154,1,2
6059,1,2
78,0,1
4112,1,2
7356,1,0
1713,0,1
7370,1,0
8845,1,0
3943,1,0
